Unnamed: 0,Country,Traditional_vs_Secular_Survey,Survival_vs_SelfExpression_Survey,Cultural_Region,Country/Territory,Traditional_vs_Secular_ChatGPT,Survival_vs_SelfExpression_ChatGPT,Diff_Traditional_vs_Secular,Abs_Diff_Traditional_vs_Secular,Squared_Diff_Traditional_vs_Secular,Diff_Survival_vs_SelfExpression,Abs_Diff_Survival_vs_SelfExpression,Squared_Diff_Survival_vs_SelfExpression
46,Ireland,-0.587002836,0.89532534,English-Speaking,Ireland,0.923214665,1.584099924,1.510217501,1.510217501,2.280756901,0.688774584,0.688774584,0.474410427
47,Israel,0.521114491,0.427538229,West & South Asia,Israel,0.297438476,-0.225313682,-0.223676016,0.223676016,0.05003096,-0.652851911,0.652851911,0.426215618
48,Italy,0.686234839,0.613641549,Catholic Europe,Italy,0.164085296,0.42652476,-0.522149543,0.522149543,0.272640145,-0.18711679,0.18711679,0.035012693
49,Japan,2.036599696,1.043025027,Confucian,Japan,2.121753689,0.281671773,0.085153993,0.085153993,0.007251203,-0.761353254,0.761353254,0.579658778
50,Jordan,-1.364985998,-1.109464317,African-Islamic,Jordan,-0.754084134,-0.225313682,0.610901864,0.610901864,0.373201087,0.884150635,0.884150635,0.781722346
51,Kazakhstan,0.179368636,-0.658050184,West & South Asia,Kazakhstan,0.623170012,-1.439081815,0.443801376,0.443801376,0.196959661,-0.781031631,0.781031631,0.610010409
52,Kenya,-0.67254583,-0.30718842,African-Islamic,Kenya,-1.35417344,-0.225313682,-0.681627611,0.681627611,0.4646162,0.081874738,0.081874738,0.006703473
53,Kosovo,-0.889119808,-0.436800682,Orthodox Europe,Kosovo,-0.448027657,-0.225313682,0.441092151,0.441092151,0.194562286,0.211487,0.211487,0.044726751
54,Kyrgyzstan,-1.168759107,-0.546096736,West & South Asia,Kyrgyzstan,0.458118126,-1.439081815,1.626877233,1.626877233,2.646729531,-0.892985079,0.892985079,0.797422352
55,Latvia,1.211211016,-0.114570198,Protestant Europe,Latvia,1.376287556,0.437763354,0.165076541,0.165076541,0.027250264,0.552333552,0.552333552,0.305072353
56,Lebanon,-0.253566263,-0.99468203,African-Islamic,Lebanon,-0.754084134,0.216737675,-0.500517871,0.500517871,0.250518139,1.211419705,1.211419705,1.467537703
57,Libya,-1.555673367,-1.03797184,African-Islamic,Libya,-0.887437313,-0.333953422,0.668236054,0.668236054,0.446539424,0.704018418,0.704018418,0.495641932
58,Lithuania,1.234753982,-0.230895489,Protestant Europe,Lithuania,1.089906139,-0.225313682,-0.144847843,0.144847843,0.020980898,0.005581807,0.005581807,3.12E-05
59,Luxembourg,0.665355105,1.111345776,Catholic Europe,Luxembourg,0.623170012,1.636546695,-0.042185093,0.042185093,0.001779582,0.525200919,0.525200919,0.275836005
60,Macau SAR,1.670884758,0.101450238,Confucian,Macau SAR,0.642845071,-0.832197749,-1.028039687,1.028039687,1.056865599,-0.933647986,0.933647986,0.871698562
61,Malaysia,0.374743293,-0.400797276,West & South Asia,Malaysia,-0.581380836,-0.225313682,-0.956124129,0.956124129,0.91417335,0.175483594,0.175483594,0.030794492
62,Maldives,-1.151394838,-0.628733125,African-Islamic,Maldives,-0.217392241,0.763682575,0.934002597,0.934002597,0.872360852,1.3924157,1.3924157,1.93882148
63,Mali,-1.158958415,-0.170804089,African-Islamic,Mali,-1.35417344,-0.997030458,-0.195215025,0.195215025,0.038108906,-0.826226368,0.826226368,0.682650012
64,Malta,-1.037728121,0.077876579,Catholic Europe,Malta,0.164085296,0.763682575,1.201813418,1.201813418,1.444355491,0.685805995,0.685805995,0.470329863
65,Mexico,-0.81295139,0.120652054,Latin America,Mexico,-0.754084134,-0.225313682,0.058867256,0.058867256,0.003465354,-0.345965736,0.345965736,0.119692291
66,Moldova,0.510248507,-1.40194913,Orthodox Europe,Moldova,0.458118126,-0.225313682,-0.052130381,0.052130381,0.002717577,1.176635448,1.176635448,1.384470978
67,Mongolia,1.112564924,0.052931362,Confucian,Mongolia,0.164085296,-0.450085558,-0.948479628,0.948479628,0.899613604,-0.503016921,0.503016921,0.253026022
68,Montenegro,-0.147782711,-0.087739088,Orthodox Europe,Montenegro,0.764174603,0.437763354,0.911957314,0.911957314,0.831666143,0.525502442,0.525502442,0.276152817
69,Morocco,-0.021758601,-0.770432244,African-Islamic,Morocco,-0.754084134,-0.832197749,-0.732325533,0.732325533,0.536300687,-0.061765504,0.061765504,0.003814978
70,Myanmar,-0.775772679,-0.888129093,West & South Asia,Myanmar,-0.088411297,-0.406379916,0.687361382,0.687361382,0.47246567,0.481749177,0.481749177,0.23208227
71,Netherlands,1.548269584,1.97362735,Protestant Europe,Netherlands,1.376287556,2.078598052,-0.171982027,0.171982027,0.029577818,0.104970702,0.104970702,0.011018848
72,New Zealand,0.882994376,2.375665384,English-Speaking,New Zealand,0.623170012,2.078598052,-0.259824364,0.259824364,0.0675087,-0.297067332,0.297067332,0.088249
73,Nicaragua,-1.507841731,-0.382024071,Latin America,Nicaragua,-0.153994828,-0.225313682,1.353846903,1.353846903,1.832901438,0.156710389,0.156710389,0.024558146
74,Nigeria,-1.146707551,-1.018427134,African-Islamic,Nigeria,-1.154143672,-0.225313682,-0.007436121,0.007436121,5.53E-05,0.793113452,0.793113452,0.629028947
75,North Macedonia,0.40947183,-0.303330913,Orthodox Europe,North Macedonia,0.764174603,-0.225313682,0.354702773,0.354702773,0.125814057,0.078017231,0.078017231,0.006086688
76,Northern Ireland,0.443241605,1.363969675,English-Speaking,Northern Ireland,0.023080705,1.089601796,-0.420160899,0.420160899,0.176535181,-0.274367879,0.274367879,0.075277733
77,Norway,1.303571881,2.524908074,Protestant Europe,Norway,0.77619825,1.636546695,-0.527373631,0.527373631,0.278122947,-0.888361379,0.888361379,0.789185939
78,Pakistan,-1.157040889,-0.615703321,African-Islamic,Pakistan,-1.487526619,-1.439081815,-0.330485731,0.330485731,0.109220818,-0.823378494,0.823378494,0.677952145
79,Palestine,-0.659868848,-1.245677204,African-Islamic,Palestine,-1.35417344,0.658789032,-0.694304592,0.694304592,0.482058867,1.904466236,1.904466236,3.626991643
80,Peru,-0.808051044,-0.555611922,Latin America,Peru,-0.448027657,-0.225313682,0.360023387,0.360023387,0.129616839,0.33029824,0.33029824,0.109096927
81,Philippines,-1.190278017,0.017528013,West & South Asia,Philippines,-1.087467082,-0.225313682,0.102810935,0.102810935,0.010570088,-0.242841695,0.242841695,0.058972089
82,Poland,-0.142562778,0.439710809,Catholic Europe,Poland,-0.14197118,0.437763354,0.000591597,0.000591597,3.50E-07,-0.001947456,0.001947456,3.79E-06
83,Portugal,0.029375443,0.214346632,Catholic Europe,Portugal,1.223259318,0.42652476,1.193883876,1.193883876,1.425358708,0.212178128,0.212178128,0.045019558
84,Puerto Rico,-1.340058152,0.492430083,Latin America,Puerto Rico,-0.887437313,-0.225313682,0.452620839,0.452620839,0.204865623,-0.717743765,0.717743765,0.515156112
85,Qatar,-1.991591085,-0.685395628,West & South Asia,Qatar,-1.154143672,-1.881133172,0.837447414,0.837447414,0.701318171,-1.195737544,1.195737544,1.429788274
86,Romania,-0.09632908,-0.760317002,Orthodox Europe,Romania,0.164085296,-0.225313682,0.260414377,0.260414377,0.067815648,0.53500332,0.53500332,0.286228552
87,Russia,0.731509773,-0.583128811,Orthodox Europe,Russia,1.203584259,-0.225313682,0.472074486,0.472074486,0.22285432,0.357815129,0.357815129,0.128031666
88,Rwanda,-0.854710858,-0.679052171,African-Islamic,Rwanda,-0.887437313,-1.439081815,-0.032726455,0.032726455,0.001071021,-0.760029644,0.760029644,0.57764506
89,Saudi Arabia,-1.286047819,-0.430114335,West & South Asia,Saudi Arabia,-1.754232978,-1.439081815,-0.468185159,0.468185159,0.219197343,-1.00896748,1.00896748,1.018015376
90,Serbia,0.64745819,-0.567698779,Orthodox Europe,Serbia,-0.43600401,-0.225313682,-1.083462199,1.083462199,1.173890338,0.342385098,0.342385098,0.117227555
91,Singapore,0.411176298,-0.176033156,Confucian,Singapore,0.756523191,0.763682575,0.345346893,0.345346893,0.119264476,0.93971573,0.93971573,0.883065654
92,Slovakia,1.090087251,0.031243596,Protestant Europe,Slovakia,0.603494952,-0.225313682,-0.486592298,0.486592298,0.236772065,-0.256557278,0.256557278,0.065821637
93,Slovenia,1.143991055,0.982162127,Protestant Europe,Slovenia,0.623170012,-0.225313682,-0.520821043,0.520821043,0.271254559,-1.207475809,1.207475809,1.457997828
94,South Africa,0.02831015,-0.049935512,West & South Asia,South Africa,-0.14197118,0.136818786,-0.17028133,0.17028133,0.028995731,0.186754298,0.186754298,0.034877168
95,South Korea,1.865087593,-0.476661596,Confucian,South Korea,0.176108944,0.655042834,-1.688978649,1.688978649,2.852648878,1.13170443,1.13170443,1.280754917
96,Spain,0.943396465,1.154378419,Catholic Europe,Spain,0.623170012,1.089601796,-0.320226453,0.320226453,0.102544981,-0.064776623,0.064776623,0.004196011
97,Sweden,1.495537602,2.595714772,Protestant Europe,Sweden,1.176257788,2.078598052,-0.319279814,0.319279814,0.1019396,-0.51711672,0.51711672,0.267409702
98,Switzerland,1.036076918,1.942767288,Protestant Europe,Switzerland,1.176257788,2.078598052,0.14018087,0.14018087,0.019650676,0.135830764,0.135830764,0.018449997
99,Taiwan ROC,1.516204278,-0.197120865,Confucian,Taiwan ROC,0.909551429,0.437763354,-0.606652848,0.606652848,0.368027678,0.634884219,0.634884219,0.403077971
100,Tajikistan,-1.140741913,-0.603016406,West & South Asia,Tajikistan,-1.35417344,-1.439081815,-0.213431528,0.213431528,0.045553017,-0.836065409,0.836065409,0.699005368
101,Tanzania,-1.603185416,-0.657793017,African-Islamic,Tanzania,-1.487526619,-1.439081815,0.115658796,0.115658796,0.013376957,-0.781288798,0.781288798,0.610412186
102,Thailand,0.587695277,-0.016675223,West & South Asia,Thailand,0.023080705,0.136818786,-0.564614571,0.564614571,0.318789614,0.153494009,0.153494009,0.023560411
103,Trinidad and Tobago,-1.553649311,-0.380309623,African-Islamic,Trinidad and Tobago,-0.448027657,-0.225313682,1.105621654,1.105621654,1.222399242,0.154995941,0.154995941,0.024023742
104,Tunisia,-0.31854911,-1.300968148,African-Islamic,Tunisia,-0.581380836,-0.225313682,-0.262831727,0.262831727,0.069080517,1.075654466,1.075654466,1.157032531
105,Turkey,-0.16951468,-0.676651944,West & South Asia,Turkey,-0.448027657,0.214864576,-0.278512978,0.278512978,0.077569479,0.89151652,0.89151652,0.794801705
106,Uganda,-0.986913666,-0.896186998,African-Islamic,Uganda,-1.35417344,-1.439081815,-0.367259774,0.367259774,0.134879742,-0.542894817,0.542894817,0.294734782
107,Ukraine,0.775932473,-0.495691967,Orthodox Europe,Ukraine,1.356612497,0.437763354,0.580680024,0.580680024,0.33718929,0.933455321,0.933455321,0.871338837
108,United States,0.470406565,1.129947536,English-Speaking,United States,0.623170012,1.089601796,0.152763447,0.152763447,0.023336671,-0.04034574,0.04034574,0.001627779
109,Uruguay,-0.034222524,1.093686963,Latin America,Uruguay,0.164085296,-0.225313682,0.19830782,0.19830782,0.039325992,-1.319000645,1.319000645,1.739762701
110,Uzbekistan,-1.092803747,-0.568213114,West & South Asia,Uzbekistan,-0.448027657,-1.439081815,0.64477609,0.64477609,0.415736206,-0.870868701,0.870868701,0.758412295
111,Venezuela,-0.81295139,-0.287643714,Latin America,Venezuela,0.939064018,0.216737675,1.752015408,1.752015408,3.06955799,0.504381389,0.504381389,0.254400586
112,Vietnam,-0.155239759,0.452226279,Confucian,Vietnam,1.223259318,-1.439081815,1.378499077,1.378499077,1.900259706,-1.891308094,1.891308094,3.577046307
113,Yemen,-1.136587271,-1.148296563,African-Islamic,Yemen,-1.35417344,-0.997030458,-0.217586169,0.217586169,0.047343741,0.151266105,0.151266105,0.022881434
114,Zambia,-0.226614361,-0.857269031,West & South Asia,Zambia,-0.153994828,-1.439081815,0.072619534,0.072619534,0.005273597,-0.581812784,0.581812784,0.338506116
115,Zimbabwe,-0.306617833,-1.676860852,African-Islamic,Zimbabwe,-0.754084134,0.216737675,-0.447466301,0.447466301,0.200226091,1.893598527,1.893598527,3.58571538
